source_file,canonical_url,title,primary_content_mode,intended_audience,intended_user_outcome,primary_topic,secondary_topic,business_relevance_0_5,search_relevance_0_5,originality_or_first_hand_value_0_5,evidence_requirement_0_5,existing_evidence_quality_0_5,present_internal_link_support,present_external_link_support,impressions,clicks,average_position,click_through_rate,indexed_status,recommended_treatment,classification_confidence,mode_signals,field_provenance,search_metrics_status,query_language,query_language_status,seo_title,markdown_h1,rendered_h1_status,opening_paragraph,headings,internal_anchor_text,search_snippet,search_snippet_status,title_body_token_overlap_0_1,title_delivery_correspondence_status
src/lib/posts/ai-cannot-suffer-yet.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-cannot-suffer-yet,"If AI Ever Gets Depressed, We Are Probably in Trouble",search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,Artificial Intelligence,Maybe,3,5,4,4,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"AI = Artificial Intelligence. Software systems trained to recognize patterns, generate language, solve problems, and imitate reasoning.",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.600,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-data-centres-india-power-water-calcutta-fear.md,https://www.suvroghosh.in/blog/technology/ai-data-centres-india-power-water-calcutta-fear,"The AI Cloud Will Also Need a Pump, a Plug, and a Tanker",search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,Technology,Data Centre,3,5,4,4,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"AI: Artificial Intelligence, software that can generate, classify, predict, summarize, recommend, detect, or automate tasks once thought to require human intelligence.",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.833,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-deployment-evidence-over-opinion.md,https://www.suvroghosh.in/blog/healthcare-ai/ai-deployment-evidence-over-opinion,AI in Healthcare: Beware,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,healthcare ai,Health Level Seven,4,5,3,4,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,healthcare-technology category without explicit first-hand cue,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data. EHR: Electronic Health Record. the clinical system where patient care is documented and managed. FHIR: Fast Healthcare Interoperability Resources. the modern web-friendly Health Level Seven healthcare data exch…",Related Posts,"Confounding Factors | Latent Space in Healthcare Data, From the Beginning | Applied Multivariate Statistical Modeling in Healthcare IT | Databases and Data Warehouses",,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.500,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-genie-out-of-the-bottle.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-genie-out-of-the-bottle,The Genie Is Out of the Bottle,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,Artificial Intelligence,Large Language,3,5,4,4,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data. IT: Information Technology. the practice of building, operating, and supporting computing systems. LLM: Large Language Model. a statistical language system trained to generate and interpret text.",Related Posts,"The Premature Bedside Manner of Large Language Models | Failing Well Without Looking Successful | AI, Meaningful Work, and the Trust Collapse | Political Promises and the Hard Floor of Reality",,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-harmonium-players.md,https://www.suvroghosh.in/blog/technology/ai-harmonium-players,The AI Harmonium Players,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,Technology,Hate Pauses,3,5,4,4,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"AI: Artificial Intelligence, software that imitates parts of human reasoning, language, pattern recognition, prediction, and decision-making.",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-health-insurance-surreptitious-risk-scoring.md,https://www.suvroghosh.in/blog/healthcare-ai/ai-health-insurance-surreptitious-risk-scoring,AI Health Insurance and Cruelty,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,healthcare ai,Somewhat Skewed,4,5,3,4,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,healthcare-technology category without explicit first-hand cue,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data. FHIR: Fast Healthcare Interoperability Resources. the modern web-friendly Health Level Seven healthcare data exchange standard. IT: Information Technology. the practice of building, operating, and supporting co…",Related Posts,"Latent Space in Healthcare Data, From the Beginning | The Premature Bedside Manner of Large Language Models | Healthcare AI and the Wrong Objective | Confounding Factors",,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.667,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-in-india-the-negative-infinity-before-the-singularity.md,https://www.suvroghosh.in/blog/healthcare-ai/ai-in-india-the-negative-infinity-before-the-singularity,The Negative Infinity Before the Singularity,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,Healthcare AI,Health Level Seven,4,5,3,4,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,healthcare-technology category without explicit first-hand cue,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data. EHR: Electronic Health Record. the clinical system where patient care is documented and managed. FHIR: Fast Healthcare Interoperability Resources. the modern web-friendly Health Level Seven healthcare data exch…",Related Posts,"The Premature Bedside Manner of Large Language Models | Why Myths Multiply When Randomness Is Left Unexplained | The Genie Is Out of the Bottle | First Principles Thinking in Calcutta, Healthcare, and the Machinery of Reality",,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.667,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-layoff-trap-firing-your-customers.md,https://www.suvroghosh.in/blog/ai-economics/ai-layoff-trap-firing-your-customers,The AI Layoff Trap: How Companies Can Fire Their Own Customers,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,AI Economics,AI Layoff,3,5,3,4,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms used: AI means Artificial Intelligence, software that performs tasks normally requiring human judgment or cognition. UBI means Universal Basic Income, a recurring cash payment given to people without requiring employment. CEO means Chief Executive Officer, the top executive responsible for running a company. SaaS means Software as a Service, softwa…",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-leaderboard-ichor.md,https://www.suvroghosh.in/blog/polemic/ai-leaderboard-ichor,The Ichor of AI Leaderboards,evergreen essay,"general readers interested in ideas, society, culture, or reflection",consider an enduring argument or perspective,Polemic,Leaderboard,1,2,5,2,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,"PRESERVE; no automatic merge, deletion, noindex, or rewrite is justified by repository-only evidence",MEDIUM,"essay, ideas, society, culture, or commentary category",HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"The leaderboard squats before me like a bloated python that has swallowed not one but seventeen goats, each goat representing a venture capitalist's unexamined belief in numerical supremacy, and I can smell it—the oleaginous, sanctimonious stench of synthetic validation, a fragrance not unlike the fermented mustard oil that drips from the cracked earthenwar…",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.500,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-meaningful-work-trust-collapse.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-meaningful-work-trust-collapse,"AI, Meaningful Work, and the Trust Collapse",search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,Artificial Intelligence,Synthetic,3,5,4,4,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"The monsoon is indifferent to calendars. In Calcutta in late June, the humidity sits on the chest like a cat that refuses to move. Inside the flat, damp climbs the interior walls in pale patches the color of old tea, and the ceiling fan merely stirs the heat into new configurations. You notice the first bubble in the plaster near the light switch. Then anot…",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.750,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
