backlog_id,finding_id,priority,evidence_status,action,status,dependency,owner,effort,verification
"RB-011","AUTH-P2-001","P2","PLAUSIBLE CONSTRAINT; BACKLINK SHORTAGE UNVERIFIED","After link exports and page-readiness approval, run one small contribution-first manual distribution cycle","BLOCKED BY RB-001/RB-002/RB-003/RB-010","Google/Bing link evidence, confirmed identities, clean measurement, and page readiness","Site owner and editorial owner","Medium","Independent earned domains remain separated from owned/social; attributable use and qualified continuation are recorded; no automated outreach"
"RB-012","VIS-P2-001","P2","VERIFIED LAB WORKLOAD","Split or defer Fractal Atlas laboratory code while preserving its article and accessibility/static/share features","PROPOSED — NOT IMPLEMENTED","Before SHA, code-split design, visualization regression suite","Visualization and platform engineer","Medium to large","Initial 275 KiB JavaScript and 4,371 ms mobile main-thread baselines improve; activation, state, canonical, fallback, keyboard, pause, and disposal tests pass"
"RB-013","VIS-P2-002","P2","VERIFIED RESPONSIVE DEFECT","Repair lightweight shader resize and add offscreen/hidden pause-resume behavior","PROPOSED — NOT IMPLEMENTED","Visualization lifecycle design and automated resize harness","Visualization frontend engineer","Small to medium","390→320→768 canvas bounds and coordinates pass; hidden/offscreen/reduced-motion/user-state tests pass"
"RB-014","SEC-P2-002","P2","VERIFIED ADVISORY VERSIONS; EXPLOITABILITY BOUNDED","Update owning dependencies to compatible patched resolutions in an isolated change","PROPOSED — NOT IMPLEMENTED","SvelteKit/Vite/adapter compatibility and preserved baseline failure context","Web engineering and dependency maintainer","Small to medium","Both audit modes, dependency paths, registry signatures, targeted/full tests, lint status, and production build are recorded"
"RB-015","SEC-P2-001","P2","VERIFIED STATIC/PUBLIC PAGE CONFIGURATION","Remove runtime notebook scripts or self-host/restrict them with SRI and a minimum compatible CSP","OWNER/ENGINEERING DECISION REQUIRED","Decision on executable notebooks and same-origin iframe/X-Frame-Options intent","Web engineering with security review","Medium","Both direct notebooks render with no unexpected executable request and pass CSP/SRI/header inspection"
"RB-016","SEC-P2-003","P2","SOURCE VERIFIED; LIVE ENABLEMENT UNVERIFIED","Verify whether Chatterbox TTS is enabled; if enabled add durable shared abuse, size, concurrency, error, and access controls","OWNER ACTION THEN PROPOSAL","Production configuration evidence, product access decision, shared store/provider limits","Application engineering and platform operations","Medium","Authorized staging abuse/timeout/error tests pass and provider metrics show bounded use"
"RB-017","SEC-P2-004","P2","SOURCE VERIFIED; PLATFORM PROTECTION UNVERIFIED","Add platform/stream size enforcement and shared privacy-preserving contact rate/quotas if provider controls do not already close the gap","OWNER ACTION THEN PROPOSAL","Provider control inventory, privacy retention decision, shared store or edge limit","Application engineering and platform operations","Medium","Authorized multi-instance/chunked/oversized/honeypot/normal-flow tests and provider quota alerts pass"
"RB-018","SEC-P2-005","P2","VERIFIED DNS ABSENCE; DELIVERY UNVERIFIED","Inventory every sender and prove SPF/DKIM alignment before staged owner-approved DMARC monitoring","OWNER ACTION REQUIRED","Private aggregate-report destination, provider headers, sender inventory, rollback plan","Domain/DNS owner and email administrator","Medium over monitoring period","Every sender aligns; reports show expected sources; policy advances gradually without legitimate-delivery regression"
"RB-019","CONTENT-P2-002","P2","HEURISTIC CANDIDATES; RENDERED GRAPH JOIN COMPLETE","Review the 205 overlap/taxonomy candidates against queries, rendered graph evidence, and editorial intent; act only page by page","BLOCKED BY SEARCH EVIDENCE AND EDITORIAL APPROVAL","RB-001, RB-002, and explicit editorial approval; accepted crawl evidence is available","Editorial owner and information architect","Medium to large","Every change has equivalent intent/canonical replacement evidence, before/after crawl, and owner approval; no mass change"
"RB-020","SEC-P3-001","P3","VERIFIED HARDENING GAP; NO INCIDENT","Evaluate DNSSEC and CAA only after complete provider, issuer, wildcard-renewal, rollover, and recovery review","DEFERRED — OWNER AUTHORIZATION REQUIRED","Registrar/DNS access and documented recovery/issuer inventory","DNS/registrar owner and platform engineering","Small implementation; medium planning","Independent DNSSEC validation and automated renewal verification pass with rollback documented"
"RB-021","SEC-P3-002","P3","VERIFIED SAMPLE; NO EXPLOIT","Evaluate narrower response CSP and optional browser policies after third-party/subdomain compatibility inventory","DEFERRED","Complete public/private route, analytics, video, font, notebook, auth, and subdomain matrix","Web and platform engineering","Medium","Automated header assertions and cross-route browser tests pass without unaccepted CSP or functionality regressions"
"RB-022","INDEXNOW-P2-001","P2","VERIFIED SOURCE DEFECT; LOCAL FIX 11/11","Deploy the independently cached main-and-Notes IndexNow workflow through the normal reviewed production path, then inspect the first run and IndexNow Insights without mass resubmission","IMPLEMENTED LOCALLY — NOT DEPLOYED","Repository review, normal production deployment, Bing property access for receipt evidence","Repository maintainer and site owner","Small","First production workflow succeeds, submits only expected canonical changed/deleted URLs, stores separate snapshots, exposes no preview URL or secret, and is corroborated in IndexNow Insights where available"
