bucket,title,canonical_url,vercel_visitors_28d,vercel_page_views_estimate_28d,public_search_evidence,business_relevance_0_5,search_relevance_0_5,originality_0_5,evidence_requirement_0_5,existing_evidence_quality_0_5,readiness,priority_action,selection_status,intended_query_or_discovery_route,intended_reader,unique_contribution,evidence_additions,structural_improvements,title_snippet_improvements,internal_links_to_add,external_corroboration_opportunity,distribution_plan,conversion_action,success_metric,review_date
science_visualization,"Hello, Fragment: Your First Shader from Scratch",https://www.suvroghosh.in/blog/visualizations/hello-fragment-your-first-shader-from-scratch,19,31,EXACT-TITLE GOOGLE RESULT OBSERVED,3,4,5,4,3,READY FOR OWNER REVIEW,Improve lab performance and create a beginner shader cluster,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,fragment shader tutorial for beginners,"Students, educators, developers, and technically curious visual learners","A live, progressive shader lesson that turns pixel mathematics into an inspectable experiment",Improve lab performance and create a beginner shader cluster,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,Create Art: A Living Pigment Studio,https://www.suvroghosh.in/blog/visualizations/create-art-living-pigment-studio,16,29,NONE OBSERVED,3,4,5,4,0,HOLD — EVIDENCE/PERFORMANCE REVIEW,Explain model assumptions and optimize interactive payload,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive digital pigment and WebGL painting,"Students, educators, developers, and technically curious visual learners","Original browser pigment system combining interaction, simulation, and generative art",Explain model assumptions and optimize interactive payload,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,Artificial Life Lab: Evolve a Digital Ecosystem in Your Browser,https://www.suvroghosh.in/blog/visualizations/artificial-life-lab-evolve-a-digital-ecosystem-in-your-browser,10,14,NONE OBSERVED,3,4,5,4,3,READY FOR OWNER REVIEW,Publish methodology/limitations; build classroom/share packet,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive artificial-life ecosystem simulation,"Students, educators, developers, and technically curious visual learners",A live ecosystem whose history emerges from local rules rather than a scripted animation,Publish methodology/limitations; build classroom/share packet,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,Spacetime Laboratory,https://www.suvroghosh.in/blog/visualizations/spacetime-laboratory-einstein-equations,10,15,NONE OBSERVED,3,4,5,4,0,HOLD — EVIDENCE REVIEW,Add derivation/source map and optimize laboratory startup,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive spacetime and Einstein-equation laboratory,"Students, educators, developers, and technically curious visual learners",Interactive geometry/physics controls paired with server-readable explanation,Add derivation/source map and optimize laboratory startup,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,The Casino That Calculates: An Interactive Monte Carlo Laboratory,https://www.suvroghosh.in/blog/visualizations/monte-carlo-laboratory,9,10,CONTEXTUAL SITE-QUERY RESULT OBSERVED — NOT A DEMAND TEST,3,4,5,4,0,HOLD — EVIDENCE REVIEW,Document random process/seed/method and strengthen tutorial path,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive Monte Carlo simulation tutorial,"Students, educators, developers, and technically curious visual learners",Makes sampling error visible through a manipulable browser experiment,Document random process/seed/method and strengthen tutorial path,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,Every Complex Number Has a Colour: An Interactive Domain-Colouring Explorer,https://www.suvroghosh.in/blog/visualizations/domain-coloring-complex-functions-explorer,7,10,NONE OBSERVED,3,4,5,4,0,HOLD — EVIDENCE REVIEW,Add mathematical references and an accessible static explanation,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive domain colouring of complex functions,"Students, educators, developers, and technically curious visual learners",Turns complex-function phase and magnitude into navigable colour,Add mathematical references and an accessible static explanation,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,The Particle That Could Not Make Up Its Mind,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,6,8,NONE OBSERVED,3,4,5,4,2,NEEDS EVIDENCE REVIEW,Clarify simulation-vs-physical-model boundary and promote via science cluster,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive Brownian motion simulation,"Students, educators, developers, and technically curious visual learners",Separates a stochastic educational model from a decorative particle animation,Clarify simulation-vs-physical-model boundary and promote via science cluster,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,The Landscape of Error: An Interactive Atlas of Gradient Descent,https://www.suvroghosh.in/blog/visualizations/gradient-descent-landscapes,6,34,NON-BRAND GOOGLE RESULT OBSERVED; PAGE VIEWS ANOMALOUS,3,4,5,4,3,READY FOR OWNER REVIEW,Investigate repeat-view pattern; optimize and publish an educator/developer packet,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive gradient descent loss landscapes,"Students, educators, developers, and technically curious visual learners",Seven landscapes and multiple optimizers presented as navigable learning geography,Investigate repeat-view pattern; optimize and publish an educator/developer packet,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,How a Scanner Sees: Reconstructing a Body from Shadows,https://www.suvroghosh.in/blog/visualizations/how-a-scanner-sees-reconstructing-a-body-from-shadows,5,6,NO ROW-LEVEL PUBLIC-SEARCH EVIDENCE,4,4,5,4,0,HOLD — EVIDENCE UPGRADE,Add imaging references/limitations and connect to healthcare authority hub,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive CT reconstruction and back-projection,"Students, educators, developers, and technically curious visual learners","Lets readers paint a phantom, collect projections, and reconstruct it step by step",Add imaging references/limitations and connect to healthcare authority hub,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
science_visualization,The Fractal Atlas: A Field Guide to Infinity,https://www.suvroghosh.in/blog/visualizations/the-fractal-atlas,5,12,NONE OBSERVED,3,4,5,4,2,NEEDS EVIDENCE REVIEW,Document rendering/numerical limits and create teacher-facing entry points,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,interactive Mandelbrot and Julia fractal atlas,"Students, educators, developers, and technically curious visual learners",A feature-detected WebGL/Canvas atlas connecting rendering to numerical inspection,Document rendering/numerical limits and create teacher-facing entry points,"Keep explanatory SSR text before the lab; add method/limitations, accessible static fallback, and related-lab path",Preserve distinctive title; ensure browser title/description names the interactive concept and learning outcome,"Visualizations hub, relevant concept article, start-here/teaching path where justified","Primary scientific/mathematical references, educator resource lists, and a reproducible public project package","Short captioned demonstration, educator/developer note, and relevant technical community contribution",Continue to a related lab or subscribe; consulting CTA only where topic genuinely overlaps professional work,Indexed flagship; non-brand impressions/clicks; qualified referred visits; lab interactions; performance regression status,2026-09-05
essay,The Ichor of AI Leaderboards,https://www.suvroghosh.in/blog/polemic/ai-leaderboard-ichor,14,16,NONE OBSERVED,1,2,5,2,0,PRESERVE; PROMOTION CANDIDATE,Use subscriber/social distribution; do not force search intent,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,newsletter/social discovery: AI leaderboards and evaluation culture,"Existing readers reached through newsletter, social sharing, and recommendation",Original polemical voice on the bodily mythology of AI rankings,Use subscriber/social distribution; do not force search intent,Preserve literary form; add only a truthful subtitle/deck and related-reading path where editorially natural,"Preserve title and voice; use a truthful editorial description, not keyword targeting","Writing hub, thematically related essays, and newsletter path",Human-edited newsletter/publication or reader recommendation; no manufactured citations,Substack/newsletter excerpt and selective social/editorial sharing,Newsletter subscription or continue to a related essay,"Qualified newsletter/referral visits, returning readership, subscriptions when measurable, and no loss of literary engagement",2026-09-05
essay,Why 2026 Is Still the 21st Century,https://www.suvroghosh.in/blog/personal-essay/the-century-has-a-hole-in-it,13,13,NONE OBSERVED,1,1,5,1,0,PRESERVE; PROMOTION CANDIDATE,Use newsletter/social framing; retain literary identity,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,newsletter/social discovery: contemporary time and personal reflection,"Existing readers reached through newsletter, social sharing, and recommendation",A distinctive personal-literary account of contemporary time,Use newsletter/social framing; retain literary identity,Preserve literary form; add only a truthful subtitle/deck and related-reading path where editorially natural,"Preserve title and voice; use a truthful editorial description, not keyword targeting","Writing hub, thematically related essays, and newsletter path",Human-edited newsletter/publication or reader recommendation; no manufactured citations,Substack/newsletter excerpt and selective social/editorial sharing,Newsletter subscription or continue to a related essay,"Qualified newsletter/referral visits, returning readership, subscriptions when measurable, and no loss of literary engagement",2026-09-05
essay,One Program at a Time,https://www.suvroghosh.in/blog/personal-essay/one-program-at-a-time,11,13,NO ROW-LEVEL PUBLIC-SEARCH EVIDENCE,1,1,5,1,0,PRESERVE; PROMOTION CANDIDATE,Use as bridge from interactive work to personal writing,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,newsletter/social discovery: learning to program through small steps,"Existing readers reached through newsletter, social sharing, and recommendation",A bridge between the author's interactive work and human learning process,Use as bridge from interactive work to personal writing,Preserve literary form; add only a truthful subtitle/deck and related-reading path where editorially natural,"Preserve title and voice; use a truthful editorial description, not keyword targeting","Writing hub, thematically related essays, and newsletter path",Human-edited newsletter/publication or reader recommendation; no manufactured citations,Substack/newsletter excerpt and selective social/editorial sharing,Newsletter subscription or continue to a related essay,"Qualified newsletter/referral visits, returning readership, subscriptions when measurable, and no loss of literary engagement",2026-09-05
essay,The Curriculum Vitae of a Vanishing Man,https://www.suvroghosh.in/blog/monologue/the-curriculum-vitae-of-a-vanishing-man,10,11,NONE OBSERVED,1,2,5,2,0,PRESERVE; PROMOTION CANDIDATE,Distribute editorially; do not rewrite into professional resume content,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,"newsletter/social discovery: work, identity, and obsolescence","Existing readers reached through newsletter, social sharing, and recommendation",Literary treatment of employment identity that must remain separate from the actual resume,Distribute editorially; do not rewrite into professional resume content,Preserve literary form; add only a truthful subtitle/deck and related-reading path where editorially natural,"Preserve title and voice; use a truthful editorial description, not keyword targeting","Writing hub, thematically related essays, and newsletter path",Human-edited newsletter/publication or reader recommendation; no manufactured citations,Substack/newsletter excerpt and selective social/editorial sharing,Newsletter subscription or continue to a related essay,"Qualified newsletter/referral visits, returning readership, subscriptions when measurable, and no loss of literary engagement",2026-09-05
essay,Subscription to Oblivion,https://www.suvroghosh.in/blog/essay/subscription-to-oblivion,10,12,NONE OBSERVED,1,2,5,2,0,PRESERVE; PROMOTION CANDIDATE,Use a newsletter/social excerpt and related-essay links,PROVISIONAL — GSC AND BING DEMAND UNVERIFIED,newsletter/social discovery: subscription culture and attention,"Existing readers reached through newsletter, social sharing, and recommendation","Original essay voice on recurring payment, attention, and modern consumption",Use a newsletter/social excerpt and related-essay links,Preserve literary form; add only a truthful subtitle/deck and related-reading path where editorially natural,"Preserve title and voice; use a truthful editorial description, not keyword targeting","Writing hub, thematically related essays, and newsletter path",Human-edited newsletter/publication or reader recommendation; no manufactured citations,Substack/newsletter excerpt and selective social/editorial sharing,Newsletter subscription or continue to a related essay,"Qualified newsletter/referral visits, returning readership, subscriptions when measurable, and no loss of literary engagement",2026-09-05
