id,category,severity,confidence,evidence,affected_scope,impact,recommendation,effort,owner,verification
"CONTENT-P2-002","content overlap and taxonomy","P2","MEDIUM — HEURISTIC CANDIDATES ONLY","DUPLICATION_AND_CANNIBALIZATION.csv candidates CORPUS-00001 through CORPUS-00205; CONTENT_AND_DEMAND.md § Review queues","205 review candidates: 148 tag-fragmentation, 55 thin-category, one near-duplicate body pair, and one title variant","Fragmented discovery or overlapping intent may dilute navigation and editorial maintenance, but no ranking cannibalization or rendered-hub defect is proven","Join candidates to search queries, rendered architecture, and human editorial intent; consolidate, redirect, or noindex only after side-by-side approval","Medium to large review","Editorial owner and information architect","Each acted-on candidate has equivalent audience intent, canonical replacement, query evidence, before/after crawl, and explicit editorial approval"
"AUTH-P2-001","authority and distribution","P2","MEDIUM — PLAUSIBLE CONSTRAINT, SHORTAGE UNVERIFIED","AUTHORITY_AND_DISTRIBUTION.md §§ Executive conclusion and Authority gaps that matter; BACKLINKS.csv rows BL-001 through BL-009; TRAFFIC_BY_REFERRER.csv retained rows","Flagship discovery, professional corroboration, and referral acquisition","Only one owned repository backlink was observed; 19 listed referrer visitors and 23 views do not establish a healthy independent reference graph or qualified distribution","Obtain Google/Bing link exports, confirm identity links, make selected flagships reference-ready, then run one small owner-executed contribution-first cycle with no automated outreach","Medium","Site owner, editorial owner, and search analyst","Earned domains classified separately from owned/social; source/target/context verified; qualified referrals measured under clean definitions"
"A11Y-P2-001","accessibility","P2","HIGH — REPEATABLE LAB EVIDENCE","PERFORMANCE_AND_ACCESSIBILITY.md § Accessibility and semantic findings; LIGHTHOUSE_RESULTS.csv applicable raw and median rows","Résumé and Fractal Atlas rendered interfaces","Nine résumé contrast nodes, nine Atlas contrast/readout nodes, and visible-label/accessible-name mismatches can impede low-vision and voice-control users","Correct the exact colour and naming defects; add rendered regression cases and complete keyboard/screen-reader/zoom/forced-colour review","Small to medium","Design-system and frontend engineer","Lighthouse failure-node counts reach zero on both profiles; rendered contrast and accessible-name tests plus manual voice-control review pass"
"PERF-P2-003","archive media performance","P2","HIGH","PERFORMANCE_AND_ACCESSIBILITY.md §§ Key route lab medians and Archive image weight; LIGHTHOUSE_RESULTS.csv page_id archive median rows","Representative monthly archive","Desktop archive transferred a median 1,635 KiB of images; cards lack responsive srcset/sizes, increasing unnecessary transfer","Generate smaller responsive AVIF/WebP/JPEG candidates, retain intrinsic dimensions, and verify the actual LCP card before eager priority","Medium","Frontend and media-pipeline engineer","Valid responsive sources; three clean desktop/mobile medians improve against 1,635 KiB without visual, alt-text, layout, or LCP regression"
"VIS-P2-001","visualization performance","P2","HIGH","PERFORMANCE_AND_ACCESSIBILITY.md §§ Key route lab medians and Fractal Atlas; LIGHTHOUSE_RESULTS.csv page_id heaviest-visualization median rows","Fractal Atlas article and laboratory","Initial navigation includes 275 KiB JavaScript; mobile main-thread work was 4,371 ms with 187 ms TBT and a 772 ms maximum long task despite strong runtime lifecycle controls","Split/defer laboratory code while preserving article, poster, captions, noscript/static fallback, canonical base URL, state sharing, keyboard path, and cleanup","Medium to large","Visualization and platform engineer","Initial transfer/main-thread metrics improve; activation, restoration, fallback, canonical, accessibility, pause, and disposal tests remain green"
"VIS-P2-002","visualization responsiveness","P2","HIGH","PERFORMANCE_AND_ACCESSIBILITY.md § Lightweight shader","Living Pigment lightweight visualization","After activation and resize from 390 px to 320 px, a 398 px canvas remained inside a 256 px shell; offscreen/hidden-tab pausing is not explicit after loader disconnect","Repair resize calculations and add intersection/visibility pause-resume semantics without overriding user play state","Small to medium","Visualization frontend engineer","Automated 390→320→768 test keeps canvas within shell and pointer/keyboard coordinates correct; hidden/offscreen and reduced-motion state tests pass"
"SEC-P2-001","third-party browser supply chain","P2","HIGH","SECURITY_FINDINGS.md § SEC-P2-001","Two directly accessible exported notebook pages","Four third-party executable scripts load without SRI and without a page CSP, increasing impact if a remote delivery path is compromised","Prefer no-runtime export or self-host reviewed assets; otherwise pin SRI/crossorigin and add a minimum compatible notebook CSP","Medium","Web engineering with security review","Both direct notebooks render correctly with no unexpected executable request and a passing header/SRI scan"
"SEC-P2-002","dependency supply chain","P2","HIGH FOR VERSIONS; MEDIUM FOR EXPLOITABILITY","SECURITY_FINDINGS.md § SEC-P2-002; COMMAND_RESULTS.md npm ci and baseline notes","Lockfile and build/development dependency graph","npm reported 0 critical, 2 high, and 1 moderate vulnerable packages; no browser exploit was demonstrated, but build/CI paths retain known vulnerable code","Update owning dependencies in an isolated branch to compatible patched resolutions; avoid forced broad upgrades","Small to medium","Web engineering and dependency maintainer","Both npm audit modes, dependency-path inspection, signature checks, tests, lint status, and production build are recorded after update"
"SEC-P2-003","API abuse prevention","P2","HIGH SOURCE CONFIDENCE; LIVE ENABLEMENT UNVERIFIED","SECURITY_FINDINGS.md § SEC-P2-003","Optional public Chatterbox TTS POST route","If enabled, unauthenticated requests can consume backend compute and expose bounded backend detail; no live POST was made","Owner-verify enablement; if enabled add shared durable rate/concurrency/request-size controls, generic errors, and appropriate auth or adaptive challenge","Medium","Application engineering and platform operations","Authorized staging tests cover oversized/chunked/concurrent calls, distributed limits, timeouts, and sanitized errors; provider metrics reviewed"
"SEC-P2-004","form abuse prevention","P2","HIGH SOURCE CONFIDENCE; MEDIUM PRODUCTION EFFECTIVENESS","SECURITY_FINDINGS.md § SEC-P2-004","Contact form action and platform limits","Process-local rate limiting and Content-Length-dependent size rejection may not hold across serverless instances or chunked/omitted-length requests","Add platform/stream size enforcement, shared privacy-preserving rate limiting, quotas, and monitoring; retain validation and honeypot","Medium","Application engineering and platform operations","Authorized staging tests cover multiple instances, distributed callers, missing/chunked/oversized bodies, honeypot, and provider quota alerts"
"SEC-P2-005","email authentication","P2","HIGH","SECURITY_FINDINGS.md § SEC-P2-005; EMAIL_REPUTATION_APPENDIX.md § Public DNS posture","Domain email anti-spoofing policy","No DMARC TXT record was observed; this weakens anti-spoofing visibility but is not evidence of a web-search penalty","Inventory every sender and prove SPF/DKIM alignment before owner-approved monitoring-only DMARC, then advance policy gradually from aggregate evidence","Medium over monitoring period","Domain/DNS owner and email administrator","Representative messages from every sender align; aggregate reports contain expected sources; policy advances without legitimate-delivery regression"
"SEC-P3-001","DNS and certificate hardening","P3","HIGH","SECURITY_FINDINGS.md § SEC-P3-001","Domain delegation and certificate-issuance policy","DNSSEC and CAA are absent; this is defense-in-depth, not an active incident or traffic cause","Evaluate provider support, key rollover/recovery, every issuer, and wildcard renewal before any owner-authorized change","Small implementation; medium planning","DNS/registrar owner and platform engineering","DS/DNSKEY validate independently; renewal succeeds; CAA authorizes every required issuer with documented rollback"
"SEC-P3-002","browser policy hardening","P3","HIGH FOR SAMPLED RESPONSES","SECURITY_FINDINGS.md § SEC-P3-002","Production response-header and CSP policy","Sampled routes have useful controls but static CSP is meta-delivered, style-src allows unsafe-inline, HSTS lacks includeSubDomains/preload, and cross-origin isolation policies are absent; no exploit was shown","Inventory third parties and subdomains before selectively tightening response CSP and other policies; do not break analytics, videos, fonts, notebooks, or authentication","Medium","Web and platform engineering","Automated header assertions and browser coverage pass across public, contact, notes, video, analytics, and notebook routes without unaccepted CSP violations"
"INDEXNOW-P2-001","indexability notification","P2","HIGH — SOURCE DEFECT VERIFIED AND LOCALLY FIXED","SEARCH_CONSOLE_AND_BING.md § IndexNow implementation review; CHANGELOG.md § Notes coverage in the production IndexNow workflow","Published Notes additions, changes, and final deletion notification","The production workflow diffed only the main sitemap, so Notes changes were omitted from automatic IndexNow notification; IndexNow notification itself does not guarantee indexing, ranking, clicks, or AI citation","Keep independent main and Notes sitemap snapshots, fail malformed responses closed, deploy through the normal reviewed path, and inspect the first production workflow plus IndexNow Insights","Small","Repository maintainer and site owner","Local IndexNow suite passes 11/11 with separate workflow paths/keys, valid empty Notes sitemap, final deletion, foreign-host rejection, dry-run isolation, and malformed-response fail-closed cases; owner verifies the first successful production run and receipt"
