citation_id,page_url,page_title,source_file,section_heading,anchor_text,source_url_sanitized,source_domain,occurrences_on_page,http_method,http_status,redirect_hops,final_url_sanitized,liveness_status,checked_at,error_category,source_to_claim_correspondence_status
CITE-0016,https://www.suvroghosh.in/blog/healthcare-it/fhir-the-universal-language-of-health-data,FHIR and the Clerk With the Clipboard,src/lib/posts/fhir-the-universal-language-of-health-data.md,P.S. References,https://smarthealthit.org,https://smarthealthit.org/,smarthealthit.org,1,HEAD,200,0,https://smarthealthit.org/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0017,https://www.suvroghosh.in/blog/healthcare-it/hie-first-principles-openhie,HIE from First Principles,src/lib/posts/hie-first-principles-openhie.md,The OpenHIE shape,OpenHIE’s architecture specification,https://guides.ohie.org/arch-spec/architecture-specification/overview-of-the-architecture,guides.ohie.org,2,HEAD,200,0,https://guides.ohie.org/arch-spec/architecture-specification/overview-of-the-architecture,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0018,https://www.suvroghosh.in/blog/healthcare-it/hie-first-principles-openhie,HIE from First Principles,src/lib/posts/hie-first-principles-openhie.md,"Standards are languages, not architecture",FHIR and related interoperability profiles,https://guides.ohie.org/arch-spec/architecture-specification/standards-and-profiles,guides.ohie.org,2,HEAD,200,0,https://guides.ohie.org/arch-spec/architecture-specification/standards-and-profiles,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0019,https://www.suvroghosh.in/blog/healthcare-it/hie-first-principles-openhie,HIE from First Principles,src/lib/posts/hie-first-principles-openhie.md,The OpenHIE shape,Client Registry,https://guides.ohie.org/arch-spec/openhie-component-specifications-1/client-registry,guides.ohie.org,2,HEAD,200,0,https://guides.ohie.org/arch-spec/openhie-component-specifications-1/client-registry,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0020,https://www.suvroghosh.in/blog/healthcare-it/hie-first-principles-openhie,HIE from First Principles,src/lib/posts/hie-first-principles-openhie.md,The interoperability layer cannot invent governance,Interoperability Layer,https://guides.ohie.org/arch-spec/openhie-component-specifications-1/openhie-interoperability-layer-iol,guides.ohie.org,2,HEAD,200,0,https://guides.ohie.org/arch-spec/openhie-component-specifications-1/openhie-interoperability-layer-iol,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0021,https://www.suvroghosh.in/blog/healthcare-it/hie-first-principles-openhie,HIE from First Principles,src/lib/posts/hie-first-principles-openhie.md,Shared records are not warehouses,Shared Health Record,https://guides.ohie.org/arch-spec/openhie-component-specifications-1/openhie-shared-health-record-shr,guides.ohie.org,2,HEAD,200,0,https://guides.ohie.org/arch-spec/openhie-component-specifications-1/openhie-shared-health-record-shr,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0022,https://www.suvroghosh.in/blog/healthcare-it/hie-first-principles-openhie,HIE from First Principles,src/lib/posts/hie-first-principles-openhie.md,Sources and version note,OpenHIE version change log,https://guides.ohie.org/arch-spec/readme/change-log-and-versioning,guides.ohie.org,1,HEAD,200,0,https://guides.ohie.org/arch-spec/readme/change-log-and-versioning,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0023,https://www.suvroghosh.in/blog/healthcare-it/latent-space-in-healthcare-data,"Latent Space in Healthcare Data, From the Beginning",src/lib/posts/latent-space-in-healthcare-data.md,Governance and failure at the edge,original study,https://escholarship.org/uc/item/6h92v832,escholarship.org,2,GET,403,0,https://escholarship.org/uc/item/6h92v832,UNVERIFIED — ACCESS OR BOT RESTRICTION HTTP 403,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0024,https://www.suvroghosh.in/blog/healthcare-it/latent-space-in-healthcare-data,"Latent Space in Healthcare Data, From the Beginning",src/lib/posts/latent-space-in-healthcare-data.md,Preserve the path back to evidence,FHIR Provenance,https://hl7.org/fhir/provenance.html,hl7.org,2,HEAD,200,0,https://hl7.org/fhir/provenance.html,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0025,https://www.suvroghosh.in/blog/healthcare-it/latent-space-in-healthcare-data,"Latent Space in Healthcare Data, From the Beginning",src/lib/posts/latent-space-in-healthcare-data.md,The stack beneath the vector,FHIR,https://hl7.org/fhir/R5/,hl7.org,2,HEAD,200,0,https://hl7.org/fhir/R5/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0026,https://www.suvroghosh.in/blog/healthcare-it/latent-space-in-healthcare-data,"Latent Space in Healthcare Data, From the Beginning",src/lib/posts/latent-space-in-healthcare-data.md,How hidden space is made,Deep Patient,https://pmc.ncbi.nlm.nih.gov/articles/PMC4869115/,pmc.ncbi.nlm.nih.gov,2,HEAD,200,0,https://pmc.ncbi.nlm.nih.gov/articles/PMC4869115/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0027,https://www.suvroghosh.in/blog/healthcare-it/latent-space-in-healthcare-data,"Latent Space in Healthcare Data, From the Beginning",src/lib/posts/latent-space-in-healthcare-data.md,When resemblance learns the bureaucracy,“Biases in electronic health record data due to processes within the healthcare system”,https://pmc.ncbi.nlm.nih.gov/articles/PMC5925441/,pmc.ncbi.nlm.nih.gov,2,HEAD,200,0,https://pmc.ncbi.nlm.nih.gov/articles/PMC5925441/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0028,https://www.suvroghosh.in/blog/healthcare-it/latent-space-in-healthcare-data,"Latent Space in Healthcare Data, From the Beginning",src/lib/posts/latent-space-in-healthcare-data.md,The stack beneath the vector,Study Data Tabulation Model,https://www.cdisc.org/standards/foundational/sdtm,cdisc.org,2,HEAD,200,0,https://www.cdisc.org/standards/foundational/sdtm,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0029,https://www.suvroghosh.in/blog/healthcare-it/the-linear-algebra-blind-spot-healthcare-ai-safety,The Linear Algebra Blind Spot in Healthcare AI,src/lib/posts/the-linear-algebra-blind-spot-healthcare-ai-safety.md,YouTube Video,Open Interactive Presentation,https://notebooklm.google.com/[REDACTED-UUID-PATH],notebooklm.google.com,1,,,0,,UNVERIFIED — PRIVATE TARGET REDACTED AND NOT REQUESTED,2026-08-06T12:22:54.710Z,private_target_not_requested,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0030,https://www.suvroghosh.in/blog/healthcare-it/the-linear-algebra-blind-spot-healthcare-ai-safety,The Linear Algebra Blind Spot in Healthcare AI,src/lib/posts/the-linear-algebra-blind-spot-healthcare-ai-safety.md,YouTube Video,🎧 Listen to the Audio Overview,https://notebooklm.google.com/[REDACTED-UUID-PATH],notebooklm.google.com,1,,,0,,UNVERIFIED — PRIVATE TARGET REDACTED AND NOT REQUESTED,2026-08-06T12:22:54.710Z,private_target_not_requested,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0031,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,How VA Healthcare Data Systems Work: From MUMPS to SQL,src/lib/posts/va-healthcare-data-systems-mumps-to-sql.md,Modernization does not repeal ambiguity,"As of 17 July 2026, VA reported",https://digital.va.gov/ehr-modernization/frequently-asked-question/,digital.va.gov,2,HEAD,200,0,https://digital.va.gov/ehr-modernization/frequently-asked-question/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0032,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,How VA Healthcare Data Systems Work: From MUMPS to SQL,src/lib/posts/va-healthcare-data-systems-mumps-to-sql.md,From operational care to enterprise measurement,Corporate Data Warehouse record,https://www.data.va.gov/dataset/Corporate-Data-Warehouse-CDW-/ftpi-epf7,data.va.gov,2,HEAD,200,0,https://www.data.va.gov/dataset/Corporate-Data-Warehouse-CDW-/ftpi-epf7,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0033,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,How VA Healthcare Data Systems Work: From MUMPS to SQL,src/lib/posts/va-healthcare-data-systems-mumps-to-sql.md,From operational care to enterprise measurement,VINCI overview,https://www.research.va.gov/programs/vinci/default.cfm,research.va.gov,2,HEAD,,0,https://www.research.va.gov/programs/vinci/default.cfm,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0034,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,How VA Healthcare Data Systems Work: From MUMPS to SQL,src/lib/posts/va-healthcare-data-systems-mumps-to-sql.md,FileMan is hierarchy with executable context,FileMan,https://www.va.gov/vdl/documents/Infrastructure/Fileman/fm22_2dg.pdf,va.gov,2,HEAD,200,0,https://www.va.gov/vdl/documents/Infrastructure/Fileman/fm22_2dg.pdf,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0035,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,How VA Healthcare Data Systems Work: From MUMPS to SQL,src/lib/posts/va-healthcare-data-systems-mumps-to-sql.md,The system grew rather than arrived,VA VistA Monograph,https://www.va.gov/vdl/documents/Monograph/Monograph/vista_monograph_0723_r.pdf,va.gov,2,HEAD,200,0,https://www.va.gov/vdl/documents/Monograph/Monograph/vista_monograph_0723_r.pdf,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0036,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,References and further reading,“A Guide to Brownian Motion and Related Stochastic Processes”,https://arxiv.org/abs/1802.09679,arxiv.org,1,HEAD,200,0,https://arxiv.org/abs/1802.09679,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0037,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,"A bead in water, with the assumptions left visible",1905 paper,https://doi.org/10.1002/andp.19053220806,doi.org,2,GET,403,1,https://onlinelibrary.wiley.com/doi/10.1002/andp.19053220806,UNVERIFIED — ACCESS OR BOT RESTRICTION HTTP 403,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0038,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,"A bead in water, with the assumptions left visible",1906,https://doi.org/10.1002/andp.19063261405,doi.org,2,GET,403,1,https://onlinelibrary.wiley.com/doi/10.1002/andp.19063261405,UNVERIFIED — ACCESS OR BOT RESTRICTION HTTP 403,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0039,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,References and further reading,“A First Look at First-Passage Processes”,https://doi.org/10.1016/j.physa.2023.128545,doi.org,1,HEAD,,1,https://linkinghub.elsevier.com/retrieve/pii/S0378437123001000,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0040,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,"A bead in water, with the assumptions left visible",1828 account,https://doi.org/10.1080/14786442808674769,doi.org,2,GET,403,1,https://www.tandfonline.com/doi/full/10.1080/14786442808674769,UNVERIFIED — ACCESS OR BOT RESTRICTION HTTP 403,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0041,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,References and further reading,“Tests for Hurst Effect”,https://doi.org/10.1093/biomet/74.1.95,doi.org,1,GET,403,1,https://academic.oup.com/biomet/article-lookup/doi/10.1093/biomet/74.1.95,UNVERIFIED — ACCESS OR BOT RESTRICTION HTTP 403,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0042,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,"A bead in water, with the assumptions left visible",velocity relaxation,https://doi.org/10.1103/PhysRev.36.823,doi.org,2,GET,403,1,https://link.aps.org/doi/10.1103/PhysRev.36.823,UNVERIFIED — ACCESS OR BOT RESTRICTION HTTP 403,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0043,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,References and further reading,"“Fractional Brownian Motions, Fractional Noises and Applications”",https://doi.org/10.1137/1010093,doi.org,1,GET,403,2,https://epubs.siam.org/doi/10.1137/1010093,UNVERIFIED — ACCESS OR BOT RESTRICTION HTTP 403,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0044,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,References and further reading,“Fast and Exact Simulation of Stationary Gaussian Processes through Circulant Embedding of the Covariance Matrix”,https://doi.org/10.1137/S1064827592240555,doi.org,1,GET,,2,https://epubs.siam.org/doi/10.1137/S1064827592240555,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0045,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,"A bead in water, with the assumptions left visible",1908 note,https://gallica.bnf.fr/ark:/12148/bpt6k3100t/f530,gallica.bnf.fr,2,HEAD,,0,https://gallica.bnf.fr/ark:/12148/bpt6k3100t/f530,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0046,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,"A bead in water, with the assumptions left visible",1909 study,https://gallica.bnf.fr/ark:/12148/bpt6k96034900,gallica.bnf.fr,2,HEAD,200,0,https://gallica.bnf.fr/ark:/12148/bpt6k96034900,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0047,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,References and further reading,Stokes–Einstein equation,https://goldbook.iupac.org/terms/view/12260,goldbook.iupac.org,1,HEAD,200,0,https://goldbook.iupac.org/terms/view/12260,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0048,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,The Particle That Could Not Make Up Its Mind,src/lib/posts/brownian-motion-laboratory.md,"A bead in water, with the assumptions left visible",Nobel lecture,https://www.nobelprize.org/prizes/physics/1926/perrin/lecture/,nobelprize.org,2,HEAD,200,0,https://www.nobelprize.org/prizes/physics/1926/perrin/lecture/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0049,https://www.suvroghosh.in/blog/visualizations/gradient-descent-landscapes,The Landscape of Error: An Interactive Atlas of Gradient Descent,src/lib/posts/gradient-descent-landscapes.md,"5. Four optimisers, one budget",original Adam paper,https://arxiv.org/abs/1412.6980,arxiv.org,2,HEAD,200,0,https://arxiv.org/abs/1412.6980,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0050,https://www.suvroghosh.in/blog/visualizations/gradient-descent-landscapes,The Landscape of Error: An Interactive Atlas of Gradient Descent,src/lib/posts/gradient-descent-landscapes.md,10. Data visualization and the missing dimensions,Visualizing the Loss Landscape of Neural Nets,https://arxiv.org/abs/1712.09913,arxiv.org,2,HEAD,200,0,https://arxiv.org/abs/1712.09913,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0051,https://www.suvroghosh.in/blog/visualizations/gradient-descent-landscapes,The Landscape of Error: An Interactive Atlas of Gradient Descent,src/lib/posts/gradient-descent-landscapes.md,10. Data visualization and the missing dimensions,reprinted note and bibliographic record,https://doi.org/10.1017/CBO9780511702396.063,doi.org,2,HEAD,200,3,https://www.cambridge.org/core/books/abs/oeuvres-completes/analyse-mathematique-methodc-generale-pour-la-resolution-des-systemes-dequations-simultanees/74A15B57C79B65C956D558CFA8766693,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0052,https://www.suvroghosh.in/blog/visualizations/gradient-descent-landscapes,The Landscape of Error: An Interactive Atlas of Gradient Descent,src/lib/posts/gradient-descent-landscapes.md,4. Curvature makes a corridor,“An Automatic Method for Finding the Greatest or Least Value of a Function” in 1960,https://doi.org/10.1093/comjnl/3.3.175,doi.org,2,GET,,1,https://academic.oup.com/comjnl/article-lookup/doi/10.1093/comjnl/3.3.175,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
