bucket,title,canonical_url,canonical_technically_eligible,observed_28d_visitors_directional,inbound_internal_link_occurrences,unique_source_pages,outbound_unique_targets,crawler_click_depth,visible_click_depth,meaningful_click_depth,weak_component_id,component_size,pagerank,topic_cluster,links_from_hubs,links_from_observed_high_traffic_pages,orphan_status,near_orphan,dead_end,visible_contextual_source_pages,pagination_only,related_widget_only,generic_anchor_visible_occurrences,generic_anchor_visible_share,redirecting_inlink_occurrences,noncanonical_variant_inlink_occurrences,bounded_recommendation
healthcare,Applied Multivariate Statistical Modeling in Healthcare IT Part 1,https://www.suvroghosh.in/blog/healthcare-it/multivariate-statistical-modeling-in-healthcare-it,true,3,25,25,24,3,3,3,component-001,935,0.0009834796,category:healthcare-it,7,0,linked,false,false,23,false,false,0,0,0,0,Retain current hub support; test a high-traffic contextual path only after clean-human traffic is available.
healthcare,How VA Healthcare Data Systems Work: From MUMPS to SQL,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,true,5,27,22,24,2,2,2,component-001,935,0.0039340581,category:healthcare-it,7,1,linked,false,false,20,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
healthcare,Why You Still Want to Read a Healthcare IT Blog in the Age of AI,https://www.suvroghosh.in/blog/healthcare-it/why-read-a-healthcare-it-blog-in-the-age-of-ai,true,3,17,16,26,2,2,2,component-001,935,0.0018934779,category:healthcare-it,10,3,linked,false,false,14,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
healthcare,When Diabetes Started Asking About Its Ancestors,https://www.suvroghosh.in/blog/healthcare-science/find-study-diabetes-kidney-family-tree,true,7,11,11,21,2,2,2,component-001,935,0.0015532256,category:healthcare-science,5,1,linked,false,false,9,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
healthcare,The Nightmare of Indian Healthcare for the Common Man,https://www.suvroghosh.in/blog/healthcare/nightmare-of-indian-healthcare,true,8,16,16,24,3,3,3,component-001,935,0.0003924624,category:healthcare,7,0,linked,false,false,14,false,false,0,0,0,0,Retain current hub support; test a high-traffic contextual path only after clean-human traffic is available.
science_visualization,Artificial Life Lab: Evolve a Digital Ecosystem in Your Browser,https://www.suvroghosh.in/blog/visualizations/artificial-life-lab-evolve-a-digital-ecosystem-in-your-browser,true,10,15,13,19,2,2,2,component-001,935,0.0034066171,category:visualizations,6,2,linked,false,false,12,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
science_visualization,The Particle That Could Not Make Up Its Mind,https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,true,6,18,16,21,1,1,1,component-001,935,0.006347809,category:visualizations,7,4,linked,false,false,15,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
science_visualization,Create Art: A Living Pigment Studio,https://www.suvroghosh.in/blog/visualizations/create-art-living-pigment-studio,true,16,22,16,23,2,2,2,component-001,935,0.003850896,category:visualizations,7,2,linked,false,false,15,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
science_visualization,Every Complex Number Has a Colour: An Interactive Domain-Colouring Explorer,https://www.suvroghosh.in/blog/visualizations/domain-coloring-complex-functions-explorer,true,7,12,9,20,2,2,2,component-001,935,0.0028730829,category:visualizations,6,0,linked,false,false,8,false,false,0,0,0,0,Retain current hub support; test a high-traffic contextual path only after clean-human traffic is available.
science_visualization,The Landscape of Error: An Interactive Atlas of Gradient Descent,https://www.suvroghosh.in/blog/visualizations/gradient-descent-landscapes,true,6,12,10,19,1,1,1,component-001,935,0.0056909623,category:visualizations,7,3,linked,false,false,10,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
science_visualization,"Hello, Fragment: Your First Shader from Scratch",https://www.suvroghosh.in/blog/visualizations/hello-fragment-your-first-shader-from-scratch,true,19,19,14,19,2,2,2,component-001,935,0.0034489799,category:visualizations,7,2,linked,false,false,13,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
science_visualization,How a Scanner Sees: Reconstructing a Body from Shadows,https://www.suvroghosh.in/blog/visualizations/how-a-scanner-sees-reconstructing-a-body-from-shadows,true,5,11,11,20,2,2,2,component-001,935,0.0017840071,category:visualizations,6,0,linked,false,false,9,false,false,0,0,0,0,Retain current hub support; test a high-traffic contextual path only after clean-human traffic is available.
science_visualization,The Casino That Calculates: An Interactive Monte Carlo Laboratory,https://www.suvroghosh.in/blog/visualizations/monte-carlo-laboratory,true,9,16,12,20,2,2,2,component-001,935,0.0033250751,category:visualizations,6,4,linked,false,false,11,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
science_visualization,Spacetime Laboratory,https://www.suvroghosh.in/blog/visualizations/spacetime-laboratory-einstein-equations,true,10,13,11,19,2,2,2,component-001,935,0.0018426001,category:visualizations,5,2,linked,false,false,9,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
science_visualization,The Fractal Atlas: A Field Guide to Infinity,https://www.suvroghosh.in/blog/visualizations/the-fractal-atlas,true,5,13,12,24,2,2,2,component-001,935,0.0028236312,category:visualizations,6,2,linked,false,false,10,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
